Rank,Crest,Team,Matches,Win,Draw,Loss,GF,GA,GD,Pts,Last 5,PPG,CS,BTTS,FTS,YC / RC,Corners / Match,1.5+Over 1.5 (1.5+),2.5+Over 2.5 (2.5+),AVG
1,"",Toronto FC,34,20,9,5,74,37,+37,69,LLWWD,2.03,38%,59%,9%,"","",88%,68%,3.26
2,"",New York City FC,34,16,9,9,56,43,+13,57,DWDLD,1.68,21%,71%,9%,"","",88%,62%,2.91
3,"",Atlanta United FC,34,15,10,9,70,40,+30,55,WDLDD,1.62,35%,59%,15%,"","",82%,65%,3.24
4,"",Chicago Fire,34,16,7,11,61,47,+14,55,LWDWL,1.62,32%,59%,12%,"","",88%,74%,3.18
5,"",Columbus Crew,34,16,6,12,53,49,+4,54,DWWWD,1.59,26%,59%,15%,"","",88%,59%,3.00
6,"",New York Red Bulls,34,14,8,12,53,47,+6,50,DLWDW,1.47,29%,53%,26%,"","",82%,56%,2.94
7,"",New England Revolution,34,13,6,15,53,61,-8,45,WLDWW,1.32,26%,53%,26%,"","",82%,71%,3.35
8,"",Philadelphia Union,34,11,9,14,50,47,+3,42,WLWLW,1.24,29%,47%,32%,"","",82%,65%,2.85
9,"",Montreal Impact,34,11,6,17,52,58,-6,39,LLLLL,1.15,15%,62%,24%,"","",79%,65%,3.24
10,"",Orlando City SC,34,10,9,15,39,58,-19,39,LWDLL,1.15,21%,53%,32%,"","",76%,56%,2.85
11,"",DC United,34,9,5,20,31,60,-29,32,WDLLL,0.94,21%,35%,50%,"","",71%,50%,2.68
1,"",Seattle Sounders FC,34,14,11,9,52,39,+13,53,LWLWW,1.56,38%,47%,24%,"","",76%,56%,2.68
2,"",Portland Timbers,34,15,8,11,60,50,+10,53,LWLWW,1.56,21%,71%,9%,"","",88%,68%,3.24
3,"",Vancouver Whitecaps FC,34,15,7,12,50,49,+1,52,LWLDL,1.53,21%,59%,24%,"","",82%,68%,2.91
4,"",Houston Dynamo,34,13,11,10,57,45,+12,50,DWWDW,1.47,24%,59%,29%,"","",79%,62%,3.00
5,"",Sporting Kansas City,34,12,13,9,40,29,+11,49,LDLDL,1.44,32%,47%,35%,"","",68%,35%,2.03
6,"",FC Dallas,34,11,13,10,48,48,0,46,WDDLW,1.35,26%,56%,32%,"","",79%,53%,2.82
7,"",San Jose Earthquakes,34,13,7,14,39,60,-21,46,LLWDW,1.35,26%,50%,29%,"","",79%,62%,2.91
8,"",Real Salt Lake,34,13,6,15,49,55,-6,45,WWDLW,1.32,26%,53%,29%,"","",74%,62%,3.06
9,"",Minnesota United FC,34,10,6,18,47,70,-23,36,LWDLL,1.06,15%,59%,29%,"","",82%,71%,3.44
10,"",Colorado Rapids,34,9,6,19,31,51,-20,33,LWDWL,0.97,18%,50%,35%,"","",68%,53%,2.41
11,"",LA Galaxy,34,8,8,18,45,67,-22,32,LDDWL,0.94,18%,59%,32%,"","",85%,71%,3.29
